insolation_flux,transit_depth,stellar_rad,planet_radius,orbital_period,stellar_logg,mission,disposition,equilibrium_temp,stellar_teff,transit_duration
1183.18,14281.0,1.08,13.12,2.052349884,4.393,Kepler,CANDIDATE,1497.0,5855.0,2.0778
10.59,1897.8,0.509,2.23,9.7704486,4.73,Kepler,CANDIDATE,460.0,3906.0,2.4517
24.75,1037.4,0.509,1.66,5.169804269,4.73,Kepler,CANDIDATE,569.0,3906.0,2.153
83.56,366.0,1.302,2.48,21.22261195,4.213,Kepler,CANDIDATE,771.0,5945.0,6.5093
4.05,1432.1,0.509,2.25,20.09017037,4.73,Kepler,CANDIDATE,362.0,3906.0,4.154
8.01,807.6,0.411,1.16,7.11373257,4.855,Kepler,CANDIDATE,429.0,3561.0,2.1764
22.19,509.2,0.411,0.91,3.306551643,4.855,Kepler,CANDIDATE,554.0,3561.0,1.8177
2.86,756.1,0.411,1.11,15.36845737,4.855,Kepler,CANDIDATE,332.0,3561.0,2.4714
113.75,1309.7,1.142,4.56,13.81020318,4.327,Kepler,CANDIDATE,833.0,5942.0,3.048
461.07,538.6,0.999,2.85,4.093578461,4.471,Kepler,CANDIDATE,1182.0,6077.0,2.5833
6.09,685.4,0.999,3.43,105.145959,4.471,Kepler,CANDIDATE,401.0,6077.0,8.593
